Ants,Iter,Max_Limit,Selected_Feats,Val_Acc,Test_Acc,Time
30,10,85,85,0.5908536585365853,0.5049808429118774,52.19321274757385
35,15,85,85,0.5628048780487804,0.5019157088122606,102.73232913017273
30,10,65,65,0.5585365853658537,0.5011494252873563,51.5395987033844
30,15,65,65,0.5585365853658537,0.5011494252873563,76.41955971717834
30,15,85,85,0.5481707317073171,0.47126436781609193,78.08891296386719
35,10,50,50,0.5323170731707317,0.4704980842911877,60.07984662055969
35,10,85,85,0.526829268292683,0.47432950191570883,62.48496747016907
35,10,40,40,0.525609756097561,0.4835249042145594,58.329095125198364
35,15,40,40,0.525609756097561,0.4835249042145594,59.88344931602478
35,15,50,50,0.524390243902439,0.49808429118773945,89.35621500015259
40,10,65,65,0.5219512195121951,0.481992337164751,52.65282201766968
40,15,65,65,0.5219512195121951,0.481992337164751,52.3681902885437
40,10,85,85,0.5158536585365854,0.514176245210728,65.88046979904175
40,15,85,85,0.5158536585365854,0.514176245210728,74.05180859565735
40,10,50,50,0.5060975609756098,0.49808429118773945,69.03671145439148
40,15,50,50,0.5060975609756098,0.49808429118773945,77.66730189323425
30,10,50,50,0.5060975609756098,0.43984674329501916,45.617501735687256
30,15,50,50,0.5060975609756098,0.43984674329501916,44.772475242614746
35,10,65,65,0.500609756097561,0.5187739463601533,52.75403022766113
35,15,65,65,0.500609756097561,0.5187739463601533,67.41690874099731
30,10,40,40,0.4871951219512195,0.5011494252873563,57.826998710632324
30,15,40,40,0.4871951219512195,0.5011494252873563,75.30486416816711
40,10,40,40,0.47621951219512193,0.4781609195402299,98.80860161781311
40,15,40,40,0.47621951219512193,0.4781609195402299,90.70305728912354
